"(<Abstr_type.A_STAR: 2>, 0.0, 'explicit errors', 0, 0)",0,"[(1, 9), (3, 3), (11, 1), (9, 9), (8, 10), (10, 2), (7, 1), (9, 1), (3, 5), (11, 3), (7, 2), (8, 1), (2, 7), (3, 6), (4, 3), (10, 7), (8, 9), (11, 6), (7, 10), (7, 11), (10, 1), (11, 2), (3, 4), (7, 4), (8, 2), (3, 7), (3, 9), (10, 9), (9, 10), (2, 9), (4, 11), (5, 10), (2, 3), (4, 1), (3, 2), (1, 4), (1, 10), (2, 11), (2, 1), (7, 9), (3, 1), (1, 3), (1, 8), (8, 6), (8, 4), (8, 3), (7, 6), (8, 5), (1, 11), (5, 5)]"
"(<Abstr_type.A_STAR: 2>, 0.0, 'explicit errors', 0, 0)",1,"[(3, 11), (2, 10), (11, 9), (2, 4), (5, 1), (10, 3), (9, 3), (4, 10), (7, 8)]"
"(<Abstr_type.A_STAR: 2>, 0.0, 'explicit errors', 0, 0)",2,"[(10, 8), (9, 6), (8, 7), (8, 8), (10, 6)]"
"(<Abstr_type.A_STAR: 2>, 0.0, 'explicit errors', 0, 0)",3,[]
"(<Abstr_type.A_STAR: 2>, 0.0, 'explicit errors', 0, 0)",4,"[(11, 7)]"
"(<Abstr_type.A_STAR: 2>, 0.0, 'explicit errors', 1, 0)",0,"[(1, 9), (2, 10), (7, 4), (11, 9), (3, 3), (5, 1), (11, 1), (11, 7), (8, 10), (10, 2), (9, 1), (3, 5), (11, 3), (7, 2), (8, 1), (2, 7), (10, 3), (9, 2), (3, 6), (8, 9), (11, 6), (10, 1), (8, 2), (7, 3), (9, 3), (4, 10), (5, 11), (9, 10), (11, 8), (9, 6), (8, 7), (4, 11), (5, 10), (4, 1), (5, 4), (1, 10), (2, 11), (8, 8), (10, 6), (7, 9), (6, 3), (1, 8), (7, 7), (8, 6), (8, 3), (8, 5), (5, 5)]"
"(<Abstr_type.A_STAR: 2>, 0.0, 'explicit errors', 1, 0)",1,"[(4, 2), (10, 8), (9, 9), (1, 7), (7, 1), (4, 3), (9, 8), (7, 10), (5, 2), (11, 2), (3, 4), (2, 9), (1, 4), (1, 2), (2, 1), (3, 1)]"
"(<Abstr_type.A_STAR: 2>, 0.0, 'explicit errors', 1, 0)",2,"[(2, 2), (1, 3), (5, 7), (8, 4)]"
"(<Abstr_type.A_STAR: 2>, 0.0, 'explicit errors', 1, 0)",3,"[(3, 2)]"
"(<Abstr_type.A_STAR: 2>, 0.0, 'explicit errors', 1, 0)",4,[]
