"(<Abstr_type.PI_STAR: 3>, 0.0, 'explicit errors', 0, 0)",0,"[(10, 1), (9, 8), (7, 10), (8, 5), (9, 3), (3, 6), (5, 2), (3, 4), (3, 5), (11, 7), (11, 2), (8, 6), (7, 9), (2, 1), (7, 2), (8, 3), (7, 3), (11, 11), (9, 9), (3, 3), (10, 2), (8, 8), (9, 1), (10, 9), (10, 6), (8, 2), (4, 4), (8, 9), (11, 6), (7, 8), (11, 3), (11, 8), (11, 9), (1, 2), (3, 2), (7, 6), (1, 3), (9, 7), (1, 1), (7, 7), (10, 8), (10, 3), (8, 7), (10, 7), (6, 3), (7, 11), (4, 3), (7, 4), (1, 5), (2, 8), (6, 8), (1, 8), (5, 8), (4, 8), (10, 11), (9, 11), (3, 8), (8, 11), (5, 3), (2, 5), (5, 5), (1, 10), (5, 10), (4, 10), (3, 10), (4, 11), (5, 11), (9, 4), (10, 4), (4, 5), (11, 4), (11, 11), (11, 11), (11, 11)]"
"(<Abstr_type.PI_STAR: 3>, 0.0, 'explicit errors', 0, 0)",1,"[(8, 4), (8, 1), (11, 11), (2, 2), (2, 3), (9, 6), (9, 2), (7, 1), (3, 11), (2, 10), (11, 11), (11, 11), (11, 11)]"
"(<Abstr_type.PI_STAR: 3>, 0.0, 'explicit errors', 0, 0)",2,"[(11, 11), (3, 1), (11, 1), (11, 11), (11, 11), (11, 11)]"
"(<Abstr_type.PI_STAR: 3>, 0.0, 'explicit errors', 0, 0)",3,"[(11, 11), (5, 1), (5, 4), (2, 11), (11, 11), (11, 11), (11, 11)]"
"(<Abstr_type.PI_STAR: 3>, 0.0, 'explicit errors', 0, 0)",4,"[(11, 11), (11, 11), (11, 11), (11, 11)]"
"(<Abstr_type.PI_STAR: 3>, 0.0, 'explicit errors', 0, 0)",5,"[(11, 11), (11, 11), (11, 11), (11, 11)]"
"(<Abstr_type.PI_STAR: 3>, 0.0, 'explicit errors', 0, 0)",6,"[(11, 11), (11, 11), (11, 11), (1, 4), (2, 7), (9, 10), (8, 10), (11, 11), (11, 10), (1, 7), (5, 7), (4, 1), (10, 10), (2, 4), (4, 7), (1, 9), (4, 9), (3, 9), (5, 9)]"
"(<Abstr_type.PI_STAR: 3>, 0.0, 'explicit errors', 0, 0)",7,"[(11, 11), (11, 11), (11, 11)]"
"(<Abstr_type.PI_STAR: 3>, 0.0, 'explicit errors', 0, 0)",8,"[(11, 11), (11, 11), (11, 11)]"
"(<Abstr_type.PI_STAR: 3>, 0.0, 'explicit errors', 0, 0)",9,"[(11, 11), (11, 11), (11, 11)]"
