"(<Abstr_type.A_STAR: 2>, 0.0, <Corr_type.UNI_RAND: 1>, 1, 0)",0,"{(1, 1): 0.05520177740260117, (1, 2): 0.33862295171349566, (1, 4): 0.8788574260693365, (1, 5): 0.7712320754503901, (2, 1): 0.08029339830315824, (2, 2): 0.6594132379474079, (2, 3): 0.8788574260693365, (2, 4): 0.9852191170585654, (2, 5): 0.33862295171349566}"
"(<Abstr_type.A_STAR: 2>, 0.0, <Corr_type.UNI_RAND: 1>, 1, 0)",1,"{(1, 1): 0.08338233910121366, (1, 2): 0.34312747788090087, (1, 4): 0.8624551254330002, (1, 5): 0.717570463519, (2, 1): 0.17069445561530971, (2, 2): 0.6717566022610566, (2, 3): 0.8624551254330002, (2, 4): 0.9835767967317393, (2, 5): 0.34312747788090087}"
"(<Abstr_type.A_STAR: 2>, 0.0, <Corr_type.UNI_RAND: 1>, 1, 0)",2,"{(1, 1): 0.15186695920489493, (1, 2): 0.2319542884326029, (1, 4): 0.6642221868401529, (1, 5): 0.6645658898874572, (2, 1): 0.37285537966030424, (2, 2): 0.6267441354900091, (2, 3): 0.6642221868401529, (2, 4): 0.992144832788721, (2, 5): 0.2319542884326029}"
"(<Abstr_type.A_STAR: 2>, 0.0, <Corr_type.UNI_RAND: 1>, 1, 0)",3,"{(1, 1): 0.08786866326587303, (1, 2): 0.35287326346368375, (1, 4): 0.8592458535714799, (1, 5): 0.7458134171671, (2, 1): 0.22853031285245995, (2, 2): 0.6685883890705197, (2, 3): 0.8592458535714799, (2, 4): 0.9852191170585654, (2, 5): 0.35287326346368375}"
"(<Abstr_type.A_STAR: 2>, 0.0, <Corr_type.UNI_RAND: 1>, 1, 0)",4,"{(1, 1): 0.24524767726060545, (1, 2): 0.4402047582468325, (1, 4): 0.8488589736660259, (1, 5): 0.5779454586995705, (2, 1): 0.04837323623404827, (2, 2): 0.639339171268243, (2, 3): 0.8488589736660259, (2, 4): 0.9942735831029776, (2, 5): 0.4402047582468325}"
"(<Abstr_type.PI_STAR: 3>, 0.0, <Corr_type.UNI_RAND: 1>, 1, 0)",0,"{(1, 1): 0.7520437641348483, (1, 2): 0.7520437641348483, (1, 4): 0.7520437641348483, (1, 5): 0.7458134171671, (2, 1): 0.7520437641348483, (2, 2): 0.7520437641348483, (2, 3): 0.7520437641348483, (2, 4): 0.7520437641348483, (2, 5): 0.7520437641348483}"
"(<Abstr_type.PI_STAR: 3>, 0.0, <Corr_type.UNI_RAND: 1>, 1, 0)",1,"{(1, 1): 0.7953158686907369, (1, 2): 0.7953158686907369, (1, 4): 0.7953158686907369, (1, 5): 0.6125795110000001, (2, 1): 0.7953158686907369, (2, 2): 0.7953158686907369, (2, 3): 0.7953158686907369, (2, 4): 0.7953158686907369, (2, 5): 0.7953158686907369}"
"(<Abstr_type.PI_STAR: 3>, 0.0, <Corr_type.UNI_RAND: 1>, 1, 0)",2,"{(1, 1): 0.7436022247351578, (1, 2): 0.7436022247351578, (1, 4): 0.7436022247351578, (1, 5): 0.7712320754503901, (2, 1): 0.7436022247351578, (2, 2): 0.7436022247351578, (2, 3): 0.7436022247351578, (2, 4): 0.7436022247351578, (2, 5): 0.7436022247351578}"
"(<Abstr_type.PI_STAR: 3>, 0.0, <Corr_type.UNI_RAND: 1>, 1, 0)",3,"{(1, 1): 0.7591441242167888, (1, 2): 0.7591441242167888, (1, 4): 0.7591441242167888, (1, 5): 0.7458134171671, (2, 1): 0.7591441242167888, (2, 2): 0.7591441242167888, (2, 3): 0.7591441242167888, (2, 4): 0.7591441242167888, (2, 5): 0.7591441242167888}"
"(<Abstr_type.PI_STAR: 3>, 0.0, <Corr_type.UNI_RAND: 1>, 1, 0)",4,"{(1, 1): 0.8527908851423776, (1, 2): 0.8527908851423776, (1, 4): 0.8527908851423776, (1, 5): 0.6622902000114966, (2, 1): 0.8527908851423776, (2, 2): 0.8527908851423776, (2, 3): 0.8527908851423776, (2, 4): 0.8527908851423776, (2, 5): 0.8527908851423776}"
