"(<Abstr_type.A_STAR: 2>, 0.0, <Corr_type.UNI_RAND: 1>, 0.1, 0)",0,"[(6, 3), (5, 11), (3, 9), (7, 4), (8, 7), (4, 7), (2, 7), (3, 6), (7, 2), (11, 1), (3, 3), (4, 4), (5, 1), (4, 2), (8, 6), (7, 7), (1, 2), (2, 4), (11, 3), (9, 1), (10, 2), (10, 9), (9, 10), (11, 7), (1, 3), (2, 2), (3, 1), (2, 3), (1, 4), (4, 1), (3, 2), (10, 1), (5, 2), (3, 4), (2, 11), (4, 11), (2, 5), (4, 3), (9, 8), (11, 6), (1, 11), (5, 5), (10, 10), (2, 10), (1, 9)]"
"(<Abstr_type.A_STAR: 2>, 0.0, <Corr_type.UNI_RAND: 1>, 0.1, 0)",1,"[(8, 8), (9, 7), (7, 9), (7, 3), (3, 5), (1, 7), (7, 1), (7, 10), (4, 9), (7, 6)]"
"(<Abstr_type.A_STAR: 2>, 0.0, <Corr_type.UNI_RAND: 1>, 0.1, 0)",2,"[(9, 6), (8, 10), (2, 9), (3, 10), (8, 9)]"
"(<Abstr_type.A_STAR: 2>, 0.0, <Corr_type.UNI_RAND: 1>, 0.1, 0)",3,"[(9, 3)]"
"(<Abstr_type.A_STAR: 2>, 0.0, <Corr_type.UNI_RAND: 1>, 0.1, 0)",4,"[(9, 2)]"
"(<Abstr_type.A_STAR: 2>, 0.0, <Corr_type.UNI_RAND: 1>, 0.1, 0)",5,[]
"(<Abstr_type.A_STAR: 2>, 0.0, <Corr_type.UNI_RAND: 1>, 0.1, 0)",6,[]
"(<Abstr_type.A_STAR: 2>, 0.0, <Corr_type.UNI_RAND: 1>, 0.1, 0)",7,"[(1, 10)]"
"(<Abstr_type.A_STAR: 2>, 0.0, <Corr_type.UNI_RAND: 1>, 0.1, 0)",8,"[(8, 4)]"
"(<Abstr_type.A_STAR: 2>, 0.0, <Corr_type.UNI_RAND: 1>, 0.1, 0)",9,[]
"(<Abstr_type.PI_STAR: 3>, 0.0, <Corr_type.UNI_RAND: 1>, 0.1, 0)",0,"[(9, 7), (10, 1), (4, 1), (10, 9), (7, 2), (11, 1), (8, 9), (1, 3), (8, 3), (7, 6), (2, 2), (9, 6), (11, 3), (2, 1), (2, 3), (9, 2), (2, 7), (9, 3), (3, 5), (3, 3), (3, 1), (7, 1), (7, 3), (11, 11), (10, 3), (1, 2), (8, 6), (9, 9), (11, 2), (8, 2), (7, 7), (7, 8), (3, 2), (11, 9), (9, 8), (11, 7), (5, 1), (9, 1), (7, 9), (4, 4), (11, 6), (3, 4), (7, 4), (4, 9), (1, 10), (10, 8), (3, 7), (8, 1), (1, 8), (7, 11), (10, 11), (9, 11), (4, 3), (4, 8), (2, 5), (2, 8), (1, 5), (5, 8), (6, 3), (5, 3), (3, 8), (6, 8), (8, 11), (4, 7), (11, 8), (2, 10), (4, 11), (5, 5), (5, 9), (2, 11), (5, 11), (5, 4), (4, 10), (2, 9), (3, 10), (3, 11), (1, 9), (3, 9), (1, 11), (4, 5), (1, 4), (3, 6), (10, 7), (11, 10), (9, 10), (4, 2), (5, 2), (5, 7), (7, 10), (2, 4)]"
"(<Abstr_type.PI_STAR: 3>, 0.0, <Corr_type.UNI_RAND: 1>, 0.1, 0)",1,"[(8, 7), (10, 6), (1, 1), (8, 4), (10, 2), (8, 8), (8, 5), (9, 4)]"
"(<Abstr_type.PI_STAR: 3>, 0.0, <Corr_type.UNI_RAND: 1>, 0.1, 0)",2,"[(5, 10), (10, 4), (11, 4)]"
"(<Abstr_type.PI_STAR: 3>, 0.0, <Corr_type.UNI_RAND: 1>, 0.1, 0)",3,[]
"(<Abstr_type.PI_STAR: 3>, 0.0, <Corr_type.UNI_RAND: 1>, 0.1, 0)",4,[]
"(<Abstr_type.PI_STAR: 3>, 0.0, <Corr_type.UNI_RAND: 1>, 0.1, 0)",5,[]
"(<Abstr_type.PI_STAR: 3>, 0.0, <Corr_type.UNI_RAND: 1>, 0.1, 0)",6,[]
"(<Abstr_type.PI_STAR: 3>, 0.0, <Corr_type.UNI_RAND: 1>, 0.1, 0)",7,[]
"(<Abstr_type.PI_STAR: 3>, 0.0, <Corr_type.UNI_RAND: 1>, 0.1, 0)",8,[]
"(<Abstr_type.PI_STAR: 3>, 0.0, <Corr_type.UNI_RAND: 1>, 0.1, 0)",9,[]
"(<Abstr_type.Q_STAR: 1>, 0.0, <Corr_type.UNI_RAND: 1>, 0.1, 0)",0,"[(11, 1), (3, 7), (3, 10), (2, 4), (11, 8), (2, 3), (8, 1), (4, 2), (7, 8), (8, 7), (7, 4), (8, 9), (1, 10), (4, 10), (10, 8)]"
"(<Abstr_type.Q_STAR: 1>, 0.0, <Corr_type.UNI_RAND: 1>, 0.1, 0)",1,"[(1, 7), (7, 1), (9, 10), (9, 7), (9, 9), (10, 7), (10, 11)]"
"(<Abstr_type.Q_STAR: 1>, 0.0, <Corr_type.UNI_RAND: 1>, 0.1, 0)",2,[]
"(<Abstr_type.Q_STAR: 1>, 0.0, <Corr_type.UNI_RAND: 1>, 0.1, 0)",3,"[(10, 3)]"
"(<Abstr_type.Q_STAR: 1>, 0.0, <Corr_type.UNI_RAND: 1>, 0.1, 0)",4,[]
