ground,0,"{(1, 11): 0.0, (1, 10): 0.0, (1, 9): 0.0, (1, 8): 0.0, (1, 7): 0.0, (1, 5): 0.0, (1, 4): 0.0, (1, 3): 0.0, (1, 2): 0.0, (1, 1): 0.0, (2, 11): 0.0, (2, 10): 0.0, (2, 9): 0.0, (2, 8): 0.0, (2, 7): 0.0, (2, 5): 0.0, (2, 4): 0.0, (2, 3): 0.0, (2, 2): 0.0, (2, 1): 0.0, (3, 11): 0.0, (3, 10): 0.0, (3, 9): 0.0, (3, 8): 0.0, (3, 7): 0.0, (3, 6): 0.0, (3, 5): 0.0, (3, 4): 0.0, (3, 3): 0.0, (3, 2): 0.0, (3, 1): 0.0, (4, 11): 0.0, (4, 10): 0.0, (4, 9): 0.0, (4, 8): 0.0, (4, 7): 0.0, (4, 5): 0.0, (4, 4): 0.0, (4, 3): 0.0, (4, 2): 0.0, (4, 1): 0.0, (5, 11): 0.0, (5, 10): 0.0, (5, 9): 0.0, (5, 8): 0.0, (5, 7): 0.0, (5, 5): 0.0, (5, 4): 0.0, (5, 3): 0.0, (5, 2): 0.0, (5, 1): 0.0, (6, 8): 0.0, (6, 3): 0.0, (7, 11): 0.0, (7, 10): 0.0, (7, 9): 0.0, (7, 8): 0.0, (7, 7): 0.0, (7, 6): 0.0, (7, 4): 0.0, (7, 3): 0.0, (7, 2): 0.0, (7, 1): 0.0, (8, 11): 0.0, (8, 10): 0.0, (8, 9): 0.0, (8, 8): 0.0, (8, 7): 0.0, (8, 6): 0.0, (8, 5): 0.0, (8, 4): 0.0, (8, 3): 0.0, (8, 2): 0.0, (8, 1): 0.0, (9, 11): 0.0, (9, 10): 0.0, (9, 9): 0.0, (9, 8): 0.0, (9, 7): 0.0, (9, 6): 0.0, (9, 4): 0.0, (9, 3): 0.0, (9, 2): 0.0, (9, 1): 0.0, (10, 11): 0.0, (10, 10): 0.009894404714134157, (10, 9): 0.0, (10, 8): 0.0, (10, 7): 0.0, (10, 6): 0.0, (10, 4): 0.0, (10, 3): 0.0, (10, 2): 0.0, (10, 1): 0.0, (11, 11): 0.0, (11, 10): 0.2707219511191078, (11, 9): 0.018771447623087186, (11, 8): 0.0, (11, 7): 0.0, (11, 6): 0.0, (11, 4): 0.0, (11, 3): 0.0, (11, 2): 0.0, (11, 1): 0.0}"
ground,1,"{(1, 11): 0.0, (1, 10): 0.0, (1, 9): 0.0, (1, 8): 0.0, (1, 7): 0.0, (1, 5): 0.0, (1, 4): 0.0, (1, 3): 0.0, (1, 2): 0.0, (1, 1): 0.0, (2, 11): 0.0, (2, 10): 0.0, (2, 9): 0.0, (2, 8): 0.0, (2, 7): 0.0, (2, 5): 0.0, (2, 4): 0.0, (2, 3): 0.0, (2, 2): 0.0, (2, 1): 0.0, (3, 11): 0.0, (3, 10): 0.0, (3, 9): 0.0, (3, 8): 0.0, (3, 7): 0.0, (3, 6): 0.0, (3, 5): 0.0, (3, 4): 0.0, (3, 3): 0.0, (3, 2): 0.0, (3, 1): 0.0, (4, 11): 0.0, (4, 10): 0.0, (4, 9): 0.0, (4, 8): 0.0, (4, 7): 0.0, (4, 5): 0.0, (4, 4): 0.0, (4, 3): 0.0, (4, 2): 0.0, (4, 1): 0.0, (5, 11): 0.0, (5, 10): 0.0, (5, 9): 0.0, (5, 8): 0.0, (5, 7): 0.0, (5, 5): 0.0, (5, 4): 0.0, (5, 3): 0.0, (5, 2): 0.0, (5, 1): 0.0, (6, 8): 0.0, (6, 3): 0.0, (7, 11): 0.0, (7, 10): 0.0, (7, 9): 0.0, (7, 8): 0.0, (7, 7): 0.0, (7, 6): 0.0, (7, 4): 0.0, (7, 3): 0.0, (7, 2): 0.0, (7, 1): 0.0, (8, 11): 0.0, (8, 10): 0.0, (8, 9): 0.0, (8, 8): 0.0, (8, 7): 0.0, (8, 6): 0.0, (8, 5): 0.0, (8, 4): 0.0, (8, 3): 0.0, (8, 2): 0.0, (8, 1): 0.0, (9, 11): 0.0, (9, 10): 0.0, (9, 9): 0.0, (9, 8): 0.0, (9, 7): 0.0, (9, 6): 0.0, (9, 4): 0.0, (9, 3): 0.0, (9, 2): 0.0, (9, 1): 0.0, (10, 11): 0.0, (10, 10): 0.0, (10, 9): 0.0, (10, 8): 0.0, (10, 7): 0.0, (10, 6): 0.0, (10, 4): 0.0, (10, 3): 0.0, (10, 2): 0.0, (10, 1): 0.0, (11, 11): 0.0, (11, 10): 0.2708351317733554, (11, 9): 0.02768716548819318, (11, 8): 0.0009789694896970911, (11, 7): 0.0, (11, 6): 0.0, (11, 4): 0.0, (11, 3): 0.0, (11, 2): 0.0, (11, 1): 0.0}"
ground,2,"{(1, 11): 0.0, (1, 10): 0.0, (1, 9): 0.0, (1, 8): 0.0, (1, 7): 0.0, (1, 5): 0.0, (1, 4): 0.0, (1, 3): 0.0, (1, 2): 0.0, (1, 1): 0.0, (2, 11): 0.0, (2, 10): 0.0, (2, 9): 0.0, (2, 8): 0.0, (2, 7): 0.0, (2, 5): 0.0, (2, 4): 0.0, (2, 3): 0.0, (2, 2): 0.0, (2, 1): 0.0, (3, 11): 0.0, (3, 10): 0.0, (3, 9): 0.0, (3, 8): 0.0, (3, 7): 0.0, (3, 6): 0.0, (3, 5): 0.0, (3, 4): 0.0, (3, 3): 0.0, (3, 2): 0.0, (3, 1): 0.0, (4, 11): 0.0, (4, 10): 0.0, (4, 9): 0.0, (4, 8): 0.0, (4, 7): 0.0, (4, 5): 0.0, (4, 4): 0.0, (4, 3): 0.0, (4, 2): 0.0, (4, 1): 0.0, (5, 11): 0.0, (5, 10): 0.0, (5, 9): 0.0, (5, 8): 0.0, (5, 7): 0.0, (5, 5): 0.0, (5, 4): 0.0, (5, 3): 0.0, (5, 2): 0.0, (5, 1): 0.0, (6, 8): 0.0, (6, 3): 0.0, (7, 11): 0.0, (7, 10): 0.0, (7, 9): 0.0, (7, 8): 0.0, (7, 7): 0.0, (7, 6): 0.0, (7, 4): 0.0, (7, 3): 0.0, (7, 2): 0.0, (7, 1): 0.0, (8, 11): 0.0, (8, 10): 0.0, (8, 9): 0.0, (8, 8): 0.0, (8, 7): 0.0, (8, 6): 0.0, (8, 5): 0.0, (8, 4): 0.0, (8, 3): 0.0, (8, 2): 0.0, (8, 1): 0.0, (9, 11): 0.0, (9, 10): 0.0009770404925408833, (9, 9): 0.0, (9, 8): 0.0, (9, 7): 0.0, (9, 6): 0.0, (9, 4): 0.0, (9, 3): 0.0, (9, 2): 0.0, (9, 1): 0.0, (10, 11): 0.0, (10, 10): 0.02765861587000605, (10, 9): 0.0, (10, 8): 0.0, (10, 7): 0.0, (10, 6): 0.0, (10, 4): 0.0, (10, 3): 0.0, (10, 2): 0.0, (10, 1): 0.0, (11, 11): 0.0, (11, 10): 0.2707037291613292, (11, 9): 0.0, (11, 8): 0.0, (11, 7): 0.0, (11, 6): 0.0, (11, 4): 0.0, (11, 3): 0.0, (11, 2): 0.0, (11, 1): 0.0}"
ground,3,"{(1, 11): 0.0, (1, 10): 0.0, (1, 9): 0.0, (1, 8): 0.0, (1, 7): 0.0, (1, 5): 0.0, (1, 4): 0.0, (1, 3): 0.0, (1, 2): 0.0, (1, 1): 0.0, (2, 11): 0.0, (2, 10): 0.0, (2, 9): 0.0, (2, 8): 0.0, (2, 7): 0.0, (2, 5): 0.0, (2, 4): 0.0, (2, 3): 0.0, (2, 2): 0.0, (2, 1): 0.0, (3, 11): 0.0, (3, 10): 0.0, (3, 9): 0.0, (3, 8): 0.0, (3, 7): 0.0, (3, 6): 0.0, (3, 5): 0.0, (3, 4): 0.0, (3, 3): 0.0, (3, 2): 0.0, (3, 1): 0.0, (4, 11): 0.0, (4, 10): 0.0, (4, 9): 0.0, (4, 8): 0.0, (4, 7): 0.0, (4, 5): 0.0, (4, 4): 0.0, (4, 3): 0.0, (4, 2): 0.0, (4, 1): 0.0, (5, 11): 0.0, (5, 10): 0.0, (5, 9): 0.0, (5, 8): 0.0, (5, 7): 0.0, (5, 5): 0.0, (5, 4): 0.0, (5, 3): 0.0, (5, 2): 0.0, (5, 1): 0.0, (6, 8): 0.0, (6, 3): 0.0, (7, 11): 0.0, (7, 10): 0.0, (7, 9): 0.0, (7, 8): 0.0, (7, 7): 0.0, (7, 6): 0.0, (7, 4): 0.0, (7, 3): 0.0, (7, 2): 0.0, (7, 1): 0.0, (8, 11): 0.0, (8, 10): 0.0, (8, 9): 0.0, (8, 8): 0.0, (8, 7): 0.0, (8, 6): 0.0, (8, 5): 0.0, (8, 4): 0.0, (8, 3): 0.0, (8, 2): 0.0, (8, 1): 0.0, (9, 11): 0.0, (9, 10): 0.0, (9, 9): 0.0, (9, 8): 0.0, (9, 7): 0.0, (9, 6): 0.0, (9, 4): 0.0, (9, 3): 0.0, (9, 2): 0.0, (9, 1): 0.0, (10, 11): 0.0, (10, 10): 0.0, (10, 9): 0.0018572697203559393, (10, 8): 0.0, (10, 7): 0.0, (10, 6): 0.0, (10, 4): 0.0, (10, 3): 0.0, (10, 2): 0.0, (10, 1): 0.0, (11, 11): 0.0, (11, 10): 0.27062591337571895, (11, 9): 0.027652878432287486, (11, 8): 0.0, (11, 7): 0.0, (11, 6): 0.0, (11, 4): 0.0, (11, 3): 0.0, (11, 2): 0.0, (11, 1): 0.0}"
ground,4,"{(1, 11): 0.0, (1, 10): 0.0, (1, 9): 0.0, (1, 8): 0.0, (1, 7): 0.0, (1, 5): 0.0, (1, 4): 0.0, (1, 3): 0.0, (1, 2): 0.0, (1, 1): 0.0, (2, 11): 0.0, (2, 10): 0.0, (2, 9): 0.0, (2, 8): 0.0, (2, 7): 0.0, (2, 5): 0.0, (2, 4): 0.0, (2, 3): 0.0, (2, 2): 0.0, (2, 1): 0.0, (3, 11): 0.0, (3, 10): 0.0, (3, 9): 0.0, (3, 8): 0.0, (3, 7): 0.0, (3, 6): 0.0, (3, 5): 0.0, (3, 4): 0.0, (3, 3): 0.0, (3, 2): 0.0, (3, 1): 0.0, (4, 11): 0.0, (4, 10): 0.0, (4, 9): 0.0, (4, 8): 0.0, (4, 7): 0.0, (4, 5): 0.0, (4, 4): 0.0, (4, 3): 0.0, (4, 2): 0.0, (4, 1): 0.0, (5, 11): 0.0, (5, 10): 0.0, (5, 9): 0.0, (5, 8): 0.0, (5, 7): 0.0, (5, 5): 0.0, (5, 4): 0.0, (5, 3): 0.0, (5, 2): 0.0, (5, 1): 0.0, (6, 8): 0.0, (6, 3): 0.0, (7, 11): 0.0, (7, 10): 0.0, (7, 9): 0.0, (7, 8): 0.0, (7, 7): 0.0, (7, 6): 0.0, (7, 4): 0.0, (7, 3): 0.0, (7, 2): 0.0, (7, 1): 0.0, (8, 11): 0.0, (8, 10): 0.0, (8, 9): 0.0, (8, 8): 0.0, (8, 7): 0.0, (8, 6): 0.0, (8, 5): 0.0, (8, 4): 0.0, (8, 3): 0.0, (8, 2): 0.0, (8, 1): 0.0, (9, 11): 0.0, (9, 10): 0.0018613379744752776, (9, 9): 0.0, (9, 8): 0.0, (9, 7): 0.0, (9, 6): 0.0, (9, 4): 0.0, (9, 3): 0.0, (9, 2): 0.0, (9, 1): 0.0, (10, 11): 0.27093134277082503, (10, 10): 0.03572404320614709, (10, 9): 0.0, (10, 8): 0.0, (10, 7): 0.0, (10, 6): 0.0, (10, 4): 0.0, (10, 3): 0.0, (10, 2): 0.0, (10, 1): 0.0, (11, 11): 0.0, (11, 10): 0.0, (11, 9): 0.0, (11, 8): 0.0, (11, 7): 0.0, (11, 6): 0.0, (11, 4): 0.0, (11, 3): 0.0, (11, 2): 0.0, (11, 1): 0.0}"
"(<Abstr_type.A_STAR: 2>, 0.0)",0,"{11: 0.0, 17: 0.0, 28: 0.0, 14: 0.0, 10: 0.0, 13: 0.0, 27: 0.0, 18: 0.0, 36: 0.0, 39: 0.0, 25: 0.0, 44: 0.0, 4: 0.0, 40: 0.0, 3: 0.0, 29: 0.0, 23: 0.0, 32: 0.0, 6: 0.0, 19: 0.0, 42: 0.0, 26: 0.0, 38: 0.0, 35: 0.0, 15: 0.0, 9: 0.0, 7: 0.0, 34: 0.0, 37: 0.0, 8: 0.0, 2: 0.0, 12: 0.0, 45: 0.0, 30: 0.0, 43: 0.0, 33: 0.0, 31: 0.0, 5: 0.0, 22: 0.0, 21: 0.09993773878873462, 20: 0.009888544121635087, 16: 0.0, 41: 0.0, 24: 0.18987229147381574, 1: 0.0}"
"(<Abstr_type.A_STAR: 2>, 0.0)",1,"{11: 0.0, 17: 0.0, 28: 0.0, 14: 0.0, 10: 0.0, 13: 0.0, 27: 0.0, 18: 0.0, 36: 0.0, 39: 0.0, 25: 0.0, 44: 0.0, 4: 0.0, 40: 0.0, 3: 0.0, 29: 0.0, 23: 0.0, 32: 0.0, 6: 0.0, 19: 0.0, 42: 0.0, 26: 0.0, 38: 0.0, 35: 0.0, 15: 0.0, 9: 0.0, 7: 0.0, 34: 0.0, 37: 0.0, 8: 0.0, 2: 0.0, 12: 0.0, 45: 0.0, 30: 0.0, 43: 4.9364795642573795e-05, 33: 0.0, 31: 0.0006398566753137061, 5: 0.002142312116308054, 22: 0.0, 21: 9.751599769787083e-05, 20: 0.018784111490131466, 16: 0.0, 41: 0.0, 24: 0.2708524243265417, 1: 0.0}"
"(<Abstr_type.A_STAR: 2>, 0.0)",2,"{11: 0.0, 17: 0.0, 28: 0.0, 14: 0.0, 10: 0.0, 13: 0.0, 27: 0.0, 18: 0.0, 36: 0.0, 39: 0.0, 25: 0.0, 44: 0.0, 4: 0.0, 40: 0.0, 3: 0.0, 29: 0.0, 23: 0.0, 32: 0.0, 6: 0.0, 19: 0.0, 42: 0.0, 26: 0.0, 38: 0.0, 35: 0.0, 15: 0.0, 9: 0.0, 7: 0.0, 34: 0.0, 37: 0.0, 8: 0.0, 2: 0.0, 12: 0.0, 45: 0.0, 30: 0.0, 43: 0.0, 33: 9.684897714238322e-05, 31: 0.0, 5: 0.0024673978283498766, 22: 0.0, 21: 0.0, 20: 0.026805183794036583, 16: 0.0, 41: 0.0, 24: 0.270873370890544, 1: 0.0}"
"(<Abstr_type.A_STAR: 2>, 0.0)",3,"{11: 0.0, 17: 0.0, 28: 0.0, 14: 0.0, 10: 0.0, 13: 0.0, 27: 0.0, 18: 0.0, 36: 0.0, 39: 0.0, 25: 0.0, 44: 0.0, 4: 0.0, 40: 0.0, 3: 0.0, 29: 0.0, 23: 0.0, 32: 0.0, 6: 0.0, 19: 0.0, 42: 0.0, 26: 0.0, 38: 0.0, 35: 0.0, 15: 0.0, 9: 0.0, 7: 0.0, 34: 0.0, 37: 0.0, 8: 0.0, 2: 0.0, 12: 0.0, 45: 0.0, 30: 0.0, 43: 0.0, 33: 0.0, 31: 0.0, 5: 0.000977002970893751, 22: 0.0, 21: 0.0, 20: 0.02764986363254401, 16: 0.0, 41: 0.0, 24: 0.27065810385543543, 1: 0.0}"
"(<Abstr_type.A_STAR: 2>, 0.0)",4,"{11: 0.0, 17: 0.0, 28: 0.0, 14: 0.0, 10: 0.0, 13: 0.0, 27: 0.0, 18: 0.0, 36: 0.0, 39: 0.0, 25: 0.0, 44: 0.0, 4: 0.0, 40: 0.0, 3: 0.0, 29: 0.0, 23: 0.0, 32: 0.0, 6: 0.0, 19: 0.0, 42: 0.0, 26: 0.0, 38: 0.0, 35: 0.0, 15: 0.0, 9: 0.0, 7: 0.0, 34: 0.0, 37: 0.0, 8: 0.0, 2: 0.0, 12: 0.0, 45: 0.0, 30: 0.0, 43: 0.0, 33: 0.0, 31: 0.009896664552567908, 5: 0.0, 22: 0.0, 21: 0.1899387824772199, 20: 0.0, 16: 0.0, 41: 0.0, 24: 0.1, 1: 0.0}"
