,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
0,63,2,33,42,26,84,66,60,102,100,28,39,36,4,53,62,76,16,98,5,7,50,48,8,32,95,74,29,25,55,83,56,64,67,30,22,96,103,27,91,54,3,93,40,13,81,43,101,58,6,85,18,45,1,41,59,89,47,20,78,61.0,,,,
1,52,82,68,42,36,26,46,63,97,60,24,100,2,4,79,62,86,56,29,11,64,17,103,83,32,31,12,92,55,65,90,30,27,50,96,7,10,69,5,48,3,37,84,9,67,35,47,85,61,89,51,1,18,43,57,80,20,13,38,40,81.0,,,,
2,82,87,42,60,102,28,97,73,75,62,46,66,68,100,39,15,33,25,17,95,44,7,83,30,9,65,72,94,49,74,88,64,22,84,69,90,98,6,92,80,5,13,67,81,16,77,3,34,40,20,101,38,99,61,45,59,1,21,78,23,,,,,
3,100,71,82,42,66,26,97,24,4,2,46,79,63,75,62,68,36,86,83,25,73,56,7,9,32,70,94,65,50,48,76,84,37,98,31,91,74,90,92,22,5,12,96,54,55,13,40,77,6,80,81,45,38,101,51,57,59,58,1,47,89.0,78.0,,,
4,88,50,76,10,29,82,102,52,66,100,33,97,68,28,26,75,39,46,63,4,48,49,37,74,92,55,98,67,69,22,95,35,3,44,94,31,56,70,7,9,83,103,25,91,72,93,45,54,61,47,21,89,51,99,34,81,40,59,20,58,18.0,101.0,19.0,,
5,82,42,87,102,60,26,4,2,52,15,39,53,100,36,63,33,32,9,95,44,65,72,37,84,83,74,69,50,92,70,30,12,10,98,27,90,49,56,103,22,86,94,31,3,51,80,47,45,6,85,99,59,23,13,77,20,57,38,1,40,19.0,58.0,,,
6,42,26,102,36,53,63,2,100,39,52,97,11,60,27,66,4,76,79,3,94,84,8,10,98,37,55,35,12,29,74,30,86,103,5,91,95,25,44,54,65,72,45,13,18,101,40,1,57,51,77,19,80,58,89,20,81,78,59,6,47,61.0,,,,
7,42,68,100,26,87,60,102,52,53,97,75,66,24,39,46,79,73,62,51,44,9,89,0,48,95,32,45,70,17,99,98,18,69,30,59,49,76,37,91,103,84,90,29,5,35,94,27,3,86,64,55,11,47,61,38,1,13,77,6,20,101.0,58.0,23.0,41.0,81.0
8,26,42,87,4,102,66,15,46,24,28,53,2,39,36,100,79,54,68,33,80,91,65,83,31,0,9,95,74,92,22,69,84,90,44,98,35,94,8,10,64,12,67,11,16,76,86,13,19,17,101,40,81,58,34,45,41,20,59,57,99,1.0,51.0,47.0,23.0,
9,103,0,25,72,94,86,17,79,15,7,97,46,60,82,102,42,63,75,2,39,53,28,36,33,65,95,55,70,83,74,84,76,45,10,93,37,98,14,69,96,1,80,50,49,90,6,51,22,35,13,41,38,16,34,23,77,78,40,19,43,,,,,
