,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
0,2012,446,323,293,202,1071,147,637,474,241,355,216,522,1359,514,961,1214,102,243,68,77,92,139,1441,91,41,136,69,179,152,70,312,114,48,40,90,40,70,72,52,30,38,38,34,28,30,39,26,38,24,58,38,43,27,31,38,28,38,30,35,29,34,47,30,46,26,50,65,32,30,41,35,27,29,28
1,503,3738,560,115,292,1020,339,1411,345,351,288,629,577,534,435,60,240,132,957,101,265,48,71,93,61,864,150,52,53,50,35,51,78,66,34,26,39,51,51,26,60,37,48,173,80,34,33,38,57,25,40,35,55,28,82,55,71,47,44,36,44,57,27,47,68,186,85,44,53,54,65,36,48,45,54
2,2205,1181,1173,430,236,621,941,600,431,271,1760,636,405,442,344,440,102,151,51,625,72,93,100,84,50,60,74,39,60,37,38,51,101,44,75,50,32,46,33,34,109,37,43,61,53,40,29,27,39,30,32,65,45,41,50,34,60,68,31,31,32,45,32,71,52,35,30,26,31,42,39,56,62,28,47
3,2780,1259,344,576,3371,116,993,1149,1438,1029,467,418,896,582,187,901,429,234,253,923,176,185,93,196,187,339,133,43,134,42,362,173,120,111,43,160,143,80,63,71,59,93,67,87,48,31,91,26,56,46,40,51,74,43,36,34,25,34,35,32,26,32,36,45,76,28,74,27,54,34,39,37,41,39,48
4,387,1582,701,2206,1405,340,538,333,302,684,310,205,1197,1502,226,178,280,687,838,247,201,346,340,67,324,704,336,148,79,116,195,302,69,206,39,130,71,99,38,43,33,61,44,68,36,75,49,70,58,48,44,46,44,42,56,43,64,38,118,60,76,94,39,27,41,30,89,63,35,41,53,77,26,36,44
5,1055,4655,821,768,903,269,1217,1217,425,1694,492,352,120,645,1027,142,567,1257,209,37,286,72,44,101,56,58,40,33,32,81,40,75,46,72,59,59,49,45,63,48,42,55,36,63,129,40,70,56,74,40,45,45,35,55,60,36,34,52,32,39,26,47,31,23,34,39,30,27,34,28,33,42,27,33,35
6,1204,964,681,488,278,867,287,92,1593,549,625,359,1310,294,1662,328,160,139,425,222,288,647,459,597,73,154,119,183,1101,171,57,134,110,395,116,100,79,43,48,53,48,52,49,65,37,45,52,50,57,64,71,31,35,48,39,34,33,51,29,33,29,50,43,45,24,40,41,30,34,28,27,23,28,52,36
7,358,735,504,592,192,468,294,425,1194,480,134,1636,879,104,288,151,594,825,464,685,427,167,337,71,214,142,146,594,62,72,76,127,59,79,52,45,43,53,26,116,31,30,35,32,24,32,34,29,56,35,29,23,27,24,40,32,53,41,38,50,31,51,56,26,33,27,29,67,43,27,50,32,29,70,25
8,841,765,351,1153,929,1371,894,259,531,713,161,710,999,1289,777,304,321,189,181,391,125,50,54,76,78,54,53,35,61,35,36,37,85,79,45,52,60,34,39,35,35,30,53,35,56,40,52,38,41,49,46,33,83,48,31,79,45,29,38,53,102,44,66,169,48,67,66,42,69,97,45,40,59,59,56
9,767,333,323,397,1142,757,838,332,232,176,452,71,708,851,232,216,150,189,214,244,162,151,564,104,84,145,101,48,66,55,119,25,51,36,59,44,56,36,25,26,125,36,36,28,35,45,76,109,55,91,84,41,60,34,42,28,33,67,70,29,74,44,52,43,76,35,48,50,28,112,30,63,38,42,46
