,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
0,3435,908,874,494,373,1023,2970,3622,547,98,330,107,869,186,458,156,193,363,49,42,38,88,264,49,30,51,31,28,65,55,33,33,42,36,49,55,50,29,40,42,39,62,48,31,51,30,27,30,42,28,31,27,45,34,27,35,32,38,34,30,34,31,38,40,38,58,29,42,26,26,47,31,32,31,30
1,296,735,4381,1473,1228,791,76,115,179,132,369,556,559,346,193,686,232,686,77,180,64,303,440,242,57,75,39,187,113,166,323,52,51,112,30,56,88,179,57,35,43,64,85,43,48,55,59,41,50,47,36,41,35,45,28,52,41,51,40,32,41,104,39,56,28,35,30,28,30,29,24,29,51,43,36
2,2332,3479,317,1194,1378,401,1975,754,92,478,561,523,452,210,254,81,298,89,388,105,113,86,1147,337,93,190,86,87,125,37,39,69,80,59,99,77,67,51,60,41,62,44,28,34,37,75,41,72,30,46,28,46,58,29,59,45,31,52,31,37,40,41,40,36,51,53,31,53,40,36,47,27,42,40,41
3,164,156,600,677,211,1238,1752,126,908,186,448,345,393,1720,342,263,792,151,69,273,264,940,244,605,201,349,57,93,129,109,64,57,89,40,71,44,37,50,46,64,37,56,59,76,38,61,49,57,62,29,94,30,50,57,35,54,44,43,43,34,37,28,24,35,33,28,38,23,30,35,37,46,34,32,31
4,470,1923,556,2232,1757,1113,516,770,1364,530,1384,293,632,464,408,155,129,121,341,236,770,40,259,190,264,121,141,64,103,161,44,55,25,39,42,27,54,37,46,34,43,72,38,35,25,26,27,26,44,40,51,30,49,42,24,31,44,42,34,40,32,29,41,27,30,41,26,46,35,46,26,24,43,28,27
5,2030,926,81,408,520,333,622,1223,563,435,589,722,984,1287,589,194,730,282,664,609,79,525,525,258,210,602,138,59,303,520,88,131,129,48,90,184,372,65,30,29,46,44,52,48,37,45,31,31,28,75,37,46,27,50,36,86,36,64,54,42,41,57,38,39,39,37,35,38,51,52,41,26,34,41,28
6,4314,728,410,1491,544,376,790,472,291,1567,653,769,241,486,309,169,211,517,275,112,70,30,372,69,130,54,106,41,87,66,88,46,31,30,52,47,26,56,42,115,40,42,41,41,25,45,28,79,35,28,39,40,31,86,52,35,35,54,39,52,51,38,56,43,32,37,33,25,33,42,32,49,35,34,30
7,955,140,2218,186,1306,181,695,1128,688,234,973,657,458,784,279,87,753,153,109,215,1112,503,214,85,724,566,147,115,109,62,84,66,48,148,92,67,62,265,107,107,36,46,49,42,31,42,51,60,27,70,31,50,54,38,30,28,27,30,30,33,43,40,28,40,23,29,57,22,29,39,32,40,26,27,27
8,570,1603,517,118,1721,298,1301,571,1034,98,936,170,257,440,243,256,321,101,582,342,251,123,158,330,60,86,49,34,29,58,29,65,39,64,56,51,33,31,44,34,31,40,25,30,36,35,28,36,68,28,72,26,26,39,34,28,41,41,61,65,29,43,44,35,49,63,46,58,28,45,47,30,32,41,32
9,3097,335,337,944,397,361,819,1323,554,618,999,303,547,298,272,2329,360,1493,302,250,60,149,114,393,445,80,77,82,138,86,98,36,62,60,26,51,35,33,26,26,37,31,34,44,27,30,30,31,34,41,30,28,38,59,39,32,37,34,36,41,33,31,47,29,38,36,28,36,26,42,27,31,26,29,29
