,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138
0,59,2002,2167,266,662,1452,515,1608,948,419,1855,2593,1218,1017,1188,401,2549,1733,1915,1221,784,1712,492,1343,1022,1773,2403,2541,16,2615,76,2055,1882,2236,353,637,465,986,873,2489,330,1170,33,429,996,2079,1971,949,546,1598,1787,1055,966,407,1297,190,338,442,548,2327,2159,1735,300,2064,101,84,954,2324,602,783,1643,1795,1515,751,18,1526,1806,1310,205,485,697,2457,1900,1395,2605,346,2522,757,933,1711,536,667,1504,2513,23,877,640,1591,262,983,2408,2331,2185,2048,2205,2165,1716,483,2365,2116,45,1654,715,1047,1982,1625,1770,1062,2227,2377,1592,1803,1455,2448,1550,366,2506,453,1037,1409,937,1380,1122,859,455,237,545,334,908
1,59,2167,266,2002,662,1452,515,1608,948,2057,419,1855,2549,401,1017,1218,2593,1915,1733,1343,1022,90,492,1246,784,2055,2403,16,1882,1858,1257,2104,1773,1386,330,353,2236,530,1965,873,33,85,1170,1297,2489,986,2516,2079,949,1055,1971,1598,300,278,442,548,407,2159,954,602,2064,84,751,1515,1806,1395,101,140,1526,1310,2457,1052,933,1643,640,1982,697,2605,1900,1504,667,163,346,205,1711,1196,2205,757,1103,502,2365,2048,1409,2513,2275,1406,334,877,45,23,2475,2165,483,2227,1716,262,715,2408,1591,2185,2448,983,366,1455,2331,549,360,1625,1803,2421,1062,937,1592,453,455,1122,1550,237,344,2377,2506,1037,1186,2226,335,1380,1943,2348,1928
2,1452,59,2167,266,2002,662,1608,948,2057,419,1855,401,1188,1017,1218,2549,1221,1915,2593,1733,784,1343,1684,1022,90,1246,492,1712,2055,16,130,1773,1882,1858,1257,1386,76,353,2615,274,2104,2236,1965,530,637,330,873,33,1170,465,2489,986,949,1297,996,2079,1598,190,442,1055,300,2064,954,548,2159,101,1806,407,602,1040,1515,751,2327,1735,2324,1643,1395,2457,485,1526,140,697,2522,1310,2605,640,346,1052,536,23,1504,483,1591,1982,667,2361,757,877,1214,2205,163,2475,2165,2513,2227,2275,1409,2185,2365,1625,45,1103,2116,2331,2048,983,1654,1455,859,262,2448,1770,366,455,2421,937,908,1550,453,715,1062,1122,334,1186,237,2506,1303,1380,1004
3,2167,59,1452,662,2002,266,2057,1855,419,401,1188,1017,2549,1221,1218,1733,2593,1915,1684,784,1343,492,1712,90,2403,1246,1022,2055,1882,16,2615,809,530,1858,2236,637,2104,1965,330,465,1093,1170,2489,2079,873,986,1297,2516,949,33,429,996,85,1055,966,407,300,190,1971,1598,1787,278,1735,2159,2324,1040,101,602,2064,2327,954,84,1515,1806,751,205,18,1643,1395,1310,2457,1900,1052,697,1526,561,640,1196,667,1711,2605,346,502,2475,536,1982,1591,757,163,23,877,1214,2048,2275,1103,2331,2365,2513,2227,730,2185,262,2116,366,2408,1409,983,1716,1455,334,715,2165,1803,1047,360,2506,1770,1625,1122,2421,1550,2361,1062,2448,1245,2377,455,1004,335
4,59,266,2167,1452,2002,662,515,1608,948,2057,419,1855,1188,2549,1218,1017,1915,1221,1733,2593,492,90,1343,1022,2541,1246,2403,16,1882,1773,2055,76,2615,353,1858,2236,530,1257,1386,330,637,465,873,1965,1170,986,1458,33,2489,1297,949,546,2079,2516,1787,85,1971,190,1598,338,442,2159,407,1735,2324,954,2327,84,1806,751,2064,1515,1795,101,1643,1310,1395,140,933,163,1052,697,2457,1526,2605,205,485,2522,1711,1406,667,1103,262,1982,640,877,1900,1591,2205,2475,502,346,483,1214,2331,2275,536,2513,2165,334,2361,1409,1716,2365,23,2408,2227,1625,1455,1770,1654,2185,1550,366,1186,1122,2377,2448,937,2421,1062,908,1803,1004,791,455,2506,237,1943
5,2167,1452,266,59,662,2002,515,1608,948,2057,419,1855,1218,401,1017,1188,2549,1221,1915,2593,1733,1343,492,1712,90,1246,784,1022,1858,16,2403,130,1882,1257,2104,2615,330,809,353,76,1965,530,2236,465,986,2516,546,33,873,85,429,1170,2489,1458,949,996,1297,1055,1971,190,442,2159,954,101,84,1735,1806,2064,1515,602,2324,751,1395,697,1643,1052,485,1196,2457,640,1526,346,163,561,1591,2522,2605,1504,933,2408,1103,483,2205,502,1711,2475,205,23,983,2227,2331,2185,2116,366,2365,2275,715,1803,262,2165,183,453,1625,2421,2048,1409,859,2361,730,1550,2377,1592,360,1455,937,1654,1770,1380,791,2607,344,908,335,237,1122,1303,1186,455,1533
6,59,2167,266,2002,1452,662,515,948,2057,419,1218,1188,2549,1017,1733,2593,1915,1343,784,1712,492,1246,2541,16,2055,2403,1882,1773,1858,2615,1257,1386,353,809,76,130,530,2236,873,1965,330,429,986,465,2489,33,1170,1318,546,996,1297,1055,2516,2079,1458,949,966,1014,190,1971,1787,2159,18,602,548,1735,1040,407,84,442,2324,954,1515,1806,1395,140,101,1643,1052,1310,751,561,485,2522,1591,667,1526,163,697,2605,346,1453,536,205,640,1214,483,2513,366,1982,2185,2331,2408,2275,1103,2365,502,1409,334,2227,2165,1625,45,1455,2116,1716,2048,262,23,2448,2377,1654,1380,1770,983,859,2421,1047,937,453,1550,1122,2506,1186,2226,237,1631,1803,908
7,2167,1452,59,2002,662,266,515,1608,948,2057,1855,419,1017,1218,1915,2593,1684,1221,1733,90,492,1343,1712,2541,784,2403,1246,1773,1882,2236,2615,76,2055,130,1386,330,637,2104,353,1257,530,1093,465,986,1965,33,2489,1170,949,996,546,1297,1598,1055,1014,190,85,966,338,602,2159,1806,2064,954,1735,442,84,101,140,2327,1040,18,407,1395,751,1643,1310,697,485,827,1052,346,2605,1196,1711,933,2457,1526,2165,667,2205,2522,536,23,1982,2475,640,877,1591,2331,2513,2365,2227,549,334,1453,262,2048,2408,45,483,730,366,2275,1716,2377,360,1625,1103,1409,2116,2185,1550,908,1455,2421,983,2448,1062,1803,1770,2506,1380,1186,722,1122,2226,1592,937
8,2167,1452,59,662,2002,266,515,948,2057,1855,419,401,1017,2549,2593,1915,1221,1218,1684,784,1343,90,1712,1246,1022,2403,1773,809,16,2055,76,1386,1858,2615,330,1257,274,353,2236,465,1170,1093,2489,873,986,1297,2516,546,949,429,2079,1598,85,996,966,300,1971,1055,1787,2159,442,548,1014,954,2324,1040,2064,407,1735,2327,1515,1395,1806,84,140,757,751,1526,697,1052,1643,1196,205,2457,640,933,2522,1900,2605,1214,667,2475,1711,877,2513,1453,1591,1982,1504,2205,536,502,2165,23,2185,2116,2275,483,1716,2365,45,1409,366,549,2227,262,1625,2408,2361,715,1455,2048,455,2377,1654,730,2331,2506,1550,743,1380,334,1122,1803,937,170,1770,1004,2421
9,2167,59,2002,1452,266,662,515,1608,948,2057,419,1218,2549,1188,401,1017,1733,1221,1915,2593,1343,1022,784,90,1246,16,2541,2403,274,2615,1386,353,1257,1858,530,2236,1882,637,873,1965,1093,429,465,330,986,2489,1170,1297,949,546,33,996,85,966,1971,2079,190,1055,442,338,18,2324,101,407,954,1735,1515,2327,2064,1806,783,1643,751,485,84,757,140,697,1052,1526,1310,561,205,2605,2522,346,667,536,1504,1214,502,2227,1591,483,1982,163,262,2513,1453,2275,1625,2365,45,2331,2185,1103,334,1716,2048,1455,2165,2506,1770,983,2116,1654,1550,908,2377,859,453,23,2421,1803,2226,1037,791,937,1062,1186,743,1943,237,1004,136,1631,1047,1303,1592
