,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
0,620,6581,11253,1862,1299,255,2396,6964,387,1658,277,3512,2216,113,3804,887,201,1801,406,1005,2398,435,690,273,1310,705,192,1550,1759,720,106,1242,3072,746,997,1691,850,747,1720,737,604,725,371,539,200,759,1108,1558,687,1341,431,470,1114,265,719,3257,86,472,243,2628,898,84,607,149,223,164,52,147,1207,1182,2417,1262,162,1419,512,1764,201,2095,971,308,212,970,524,54,480,2240,35,73,679,182,156,79,170,428,816,276,738,307,644,440,304,244,850,258,1470,810,238,325,1119,41,181,721,1142,129,1092,183,603,211,427,388,1302,115,260,286,402,188,132,101,142,257,1338,159,715,51,195,283,1306,2118,115,1140,574,280,452,227,210,1144,727,1051,1084,284
1,6967,2308,1890,2725,1651,2711,1654,1580,3956,2044,904,1890,1794,3024,2118,1153,215,982,647,1993,699,3314,809,773,295,435,898,269,561,1160,446,3410,989,633,887,718,650,4618,337,1303,595,344,779,1404,487,663,982,2453,2575,618,352,306,1548,63,533,796,877,884,1194,627,285,1540,39,375,718,719,3750,172,1517,112,2950,858,429,987,17,1340,154,34,386,2885,327,136,531,943,988,721,791,806,513,616,2068,71,263,68,291,80,2091,738,462,499,772,278,1393,337,77,319,894,90,31,559,392,376,540,1057,139,273,55,208,1044,1033,1015,2303,96,194,99,738,329,87,602,222,70,207,185,12,264,176,1108,560,199,351,415,84,736,122,31,376,298,368,815,242
2,6770,1435,6223,2459,2303,3634,1067,4674,1175,3678,1410,70,738,869,2272,572,904,1222,924,1085,29,1140,981,1906,1101,158,2076,1083,1333,387,2582,495,2992,24,542,232,4323,654,2647,161,1041,269,244,2340,740,833,786,24,408,1494,1867,1402,275,92,93,173,204,1101,1141,574,1754,2571,520,334,813,802,77,2421,2066,215,1775,176,743,235,35,702,379,105,714,975,280,1759,182,3425,984,247,271,343,495,154,732,647,306,33,217,1773,1272,137,485,1501,791,209,861,549,115,2862,35,216,97,525,148,73,278,1099,136,50,159,831,1183,1196,361,287,48,261,1432,13,292,82,582,42,583,359,306,90,223,340,920,213,266,40,1067,249,175,959,592,262,792,77,1609,724
3,671,364,8078,3473,1329,455,5769,2752,2080,1954,476,1644,5071,2164,665,210,1216,1929,3267,2042,635,241,3911,2188,20,528,602,557,21,15,792,1596,195,557,933,1361,970,519,607,834,1175,2394,755,658,94,499,834,2870,468,1360,3099,527,692,2138,1064,1900,168,1255,143,1130,178,3027,154,210,1714,195,487,988,173,711,81,25,546,121,1167,2697,505,36,442,843,1398,208,406,102,132,909,3453,366,395,585,374,631,159,299,508,147,157,1339,359,211,59,323,928,736,2000,485,128,203,205,1326,146,1241,655,513,947,136,192,962,44,306,377,445,631,1178,1224,273,332,1058,703,140,336,736,83,131,154,2493,847,707,502,117,922,302,1337,366,89,30,248,31,1362,58
4,8449,3227,3907,6068,1405,4593,1391,2082,1655,1542,778,119,1573,283,3147,528,602,457,102,311,2280,2877,502,986,712,213,285,1286,462,110,2190,818,754,864,214,2073,1485,1030,2008,933,362,2112,3007,2735,3046,223,1135,1386,612,1540,3463,616,23,21,33,901,137,3595,53,781,510,1895,521,179,691,340,409,1300,246,937,313,578,422,50,273,1789,188,633,407,115,244,58,1357,1179,200,1689,34,51,1988,162,533,504,118,600,936,826,61,699,440,44,2412,100,1265,294,414,28,693,342,452,20,160,25,276,1510,317,575,333,1244,700,221,569,490,153,776,600,73,547,40,188,62,110,1014,109,76,710,237,988,245,1107,99,183,1405,640,91,434,237,112,524,463,44
5,3997,9193,2306,4681,2864,691,3118,1066,2378,105,4751,2837,2851,2918,478,3759,558,2872,252,2294,2877,3709,3776,228,994,197,1461,589,1261,349,1239,1597,179,1229,1178,314,1338,238,521,381,801,160,1200,316,1180,126,785,2373,816,144,575,366,1605,2052,1415,235,885,604,1112,745,138,317,1011,2044,685,1119,1311,120,18,886,1316,2778,618,1528,644,129,73,488,481,97,493,746,19,499,1201,114,141,204,300,347,372,392,333,27,416,205,479,503,571,576,833,1691,210,419,173,1056,185,76,78,188,168,736,161,567,179,417,284,204,302,40,329,467,163,492,198,748,283,220,290,630,775,387,223,282,220,426,1437,241,833,1186,1074,1137,402,828,256,72,843,31,50,243
6,10207,3446,967,1284,4665,1230,2092,13197,5368,2427,213,2208,1593,884,2757,1356,907,626,459,3426,1699,3021,170,3088,626,242,300,735,218,1631,1104,1256,307,354,386,2243,2533,344,641,629,1674,2163,1991,1606,841,209,2741,1208,1541,817,51,184,1498,619,3517,949,48,39,58,807,1298,546,627,1377,476,222,297,1247,1401,366,1327,565,482,295,246,483,365,429,264,502,998,732,113,300,293,1444,102,142,2218,133,355,224,229,552,821,371,148,454,169,35,188,56,265,303,297,121,229,601,186,989,168,482,1836,125,209,228,341,240,393,271,22,701,51,999,175,698,266,345,198,113,747,307,602,516,736,461,1286,626,345,13,232,252,60,155,398,1647,203,113,1296,613
7,8047,3255,6696,1141,2161,285,219,100,3946,896,134,369,5500,514,2430,2334,3395,3034,1392,2434,1388,1706,1833,6859,1113,127,602,741,1059,270,1117,828,1232,1138,1094,306,1815,33,656,713,782,43,1746,1179,725,706,2186,101,389,156,126,62,82,936,1854,679,1293,268,1154,847,1506,670,528,254,1300,46,1097,477,377,393,118,42,345,2100,354,1096,146,60,43,490,179,143,518,197,314,93,49,686,1048,416,460,1430,195,97,75,452,545,46,1352,1153,1219,359,553,229,733,583,97,96,566,240,81,431,103,262,1081,1568,773,712,148,117,602,628,210,71,499,1722,131,229,2293,1095,413,23,261,67,280,545,712,80,219,1006,209,988,260,77,388,122,428,145,241,988
8,15787,1102,140,2341,7221,5194,697,2945,908,1089,2742,204,1202,1985,3658,3159,2802,341,2204,900,928,942,154,266,1322,1249,410,1623,1948,562,2671,1576,43,519,2344,475,834,42,336,732,2413,60,2669,718,352,1318,2148,1947,317,1666,491,78,2535,284,798,127,454,778,489,958,1004,179,808,101,1433,439,326,819,1246,775,950,1054,150,1449,909,737,119,246,345,657,532,90,886,1566,74,480,18,354,26,244,557,1529,904,78,598,32,415,715,546,236,207,409,519,261,150,461,920,124,744,378,65,1031,185,219,94,387,200,1824,163,770,690,1084,1356,404,498,598,858,546,378,198,641,1788,492,235,904,310,419,280,681,299,83,1019,44,623,202,186,552,718,1077,395
9,9941,4205,2633,1343,2872,1869,4681,815,1839,1550,2065,501,2321,5301,5079,2158,514,327,943,93,2414,787,1222,38,366,367,2775,474,1577,2339,348,1310,2330,90,1051,920,2454,219,1965,137,130,1785,5489,192,1425,82,444,314,2686,2017,1383,1397,1105,2445,148,1303,1438,899,2023,77,163,894,15,459,165,26,572,59,691,24,128,610,182,686,98,215,643,1155,527,432,580,630,256,2416,718,45,783,757,1356,56,629,114,632,404,33,268,1028,248,777,589,380,1011,180,734,40,247,320,791,543,270,1085,1365,624,383,684,681,191,267,156,1637,504,628,1382,117,495,625,2272,1513,808,407,693,102,499,243,247,929,385,707,360,115,30,642,259,166,59,1249,50,62,699,590
