,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
0,67,32,50,37,48,53,62,60,26,38,66,21,8,7,30,17,65,56,6,64,55,27,18,36,75,2,10,12,57,43,28.0,25.0,22.0,14.0,58.0,20.0,63.0,52.0,,,,,
1,65,38,26,37,31,74,45,53,66,32,50,2,27,59,61,21,48,77,12,56,44,28,40,43,34,76,72,11,52,47,46.0,71.0,63.0,25.0,,,,,,,,,
2,48,4,78,65,31,74,50,32,26,1,75,35,64,51,38,28,2,40,5,77,6,18,10,8,36,15,61,72,69,71,12.0,60.0,66.0,0.0,42.0,13.0,43.0,63.0,9.0,,,,
3,65,62,74,48,17,61,60,21,37,78,45,66,56,26,8,13,51,38,24,18,30,72,16,7,19,40,57,75,42,9,5.0,46.0,58.0,77.0,0.0,15.0,39.0,,,,,,
4,31,61,6,19,75,18,36,4,51,28,54,26,78,56,48,50,24,7,62,38,45,8,43,55,2,72,17,12,13,60,27.0,47.0,14.0,59.0,49.0,68.0,71.0,63.0,,,,,
5,17,50,45,65,78,34,26,1,24,54,16,35,31,18,6,28,51,75,19,58,53,66,55,5,67,47,10,15,21,69,,,,,,,,,,,,,
6,4,26,36,38,1,56,45,50,24,10,19,60,51,34,67,71,63,49,33,3,23,77,16,61,14,25,17,40,28,37,78.0,47.0,65.0,53.0,69.0,41.0,20.0,43.0,44.0,32.0,9.0,59.0,73.0
7,26,38,18,56,31,8,77,28,7,55,67,54,36,1,34,51,24,35,50,66,45,74,58,47,17,53,14,59,65,69,25.0,42.0,57.0,9.0,12.0,29.0,,,,,,,
8,24,45,65,60,48,38,18,16,56,51,26,31,73,61,75,10,58,76,62,47,53,15,29,46,39,30,12,59,25,54,43.0,8.0,57.0,68.0,42.0,7.0,6.0,72.0,67.0,36.0,55.0,49.0,
9,26,48,31,1,34,35,53,61,78,51,21,56,18,13,37,10,30,24,2,50,47,16,57,5,4,17,9,29,36,44,27.0,76.0,49.0,14.0,69.0,,,,,,,,
