,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,162,220,9,108,97,45,17,43,23,119,9,9,9,17,13,11,13,11,53,61,17,13,23,9,9,11,14,17,17,21,9,9,19,11,9,19,19,11,11,13,78,15,15,17,27,13,31,11,9,9,11,11,7,13,11,13,13,13,21,7,15,11,9,13,11,13,9,15,15,9,13,7,11,15,11,11,15,13,19,86,9,25,11,9,9,13,11,52,13,9,9,41,11,9,31,9,9,33,38,9
1,124,189,109,61,15,54,85,68,9,17,91,38,39,39,9,41,27,11,13,45,33,39,19,21,67,9,17,11,16,45,11,11,7,9,19,9,15,9,15,15,9,7,9,11,5,34,7,11,11,17,17,11,7,15,9,9,11,9,11,17,23,11,7,11,13,11,15,7,9,7,27,9,9,7,7,9,11,13,9,15,15,15,11,9,11,11,7,9,19,9,19,7,19,7,7,11,9,7,11,9
2,179,28,43,185,117,13,49,24,5,11,9,23,9,9,38,30,53,9,47,7,9,13,15,17,43,49,11,5,13,13,7,7,28,13,7,13,21,5,7,22,17,5,9,19,11,9,11,7,5,7,15,5,9,5,13,11,7,7,5,11,7,9,5,11,40,11,9,7,9,9,13,11,11,7,5,13,5,5,7,5,5,9,19,28,19,15,7,11,5,5,11,5,5,11,5,13,11,9,7,7
3,44,40,162,178,81,23,56,94,70,9,34,25,21,69,34,39,63,19,77,49,66,49,19,63,33,65,229,113,311,221,73,65,161,131,59,9,105,74,161,45,56,34,77,67,55,35,59,37,106,123,45,63,67,205,29,7,81,9,91,15,45,13,81,81,199,51,83,47,62,26,37,23,33,117,79,34,55,45,17,75,19,103,7,111,9,72,9,23,53,5,41,17,67,47,21,55,21,23,19,85
4,59,64,77,323,110,9,131,18,11,14,7,9,7,7,9,5,11,5,13,7,7,5,5,7,7,15,9,7,9,7,22,5,7,7,17,9,13,11,7,5,43,9,11,5,9,11,13,9,9,9,15,7,5,7,7,5,5,7,16,5,11,19,11,5,7,23,9,11,15,5,5,11,9,9,7,9,9,7,13,9,5,7,7,11,9,5,17,5,7,13,9,15,9,5,5,7,15,9,15,5
5,167,542,83,35,43,15,72,49,9,23,37,52,23,66,76,217,50,29,59,17,43,7,19,9,15,9,7,5,9,21,13,9,7,11,25,5,24,5,11,11,7,5,5,9,5,11,11,9,7,7,5,9,88,11,5,11,11,13,13,11,11,5,15,5,11,15,23,11,11,7,17,11,5,15,11,5,7,11,13,13,7,9,9,9,5,13,5,5,11,9,9,9,5,7,7,7,11,5,7,7
6,534,93,158,68,67,234,15,46,18,22,15,83,31,13,25,15,21,33,13,59,149,98,27,390,47,19,9,33,83,55,9,11,15,43,13,9,23,31,15,35,15,11,19,23,41,17,33,41,7,13,20,7,13,25,13,27,9,33,15,21,15,43,31,38,45,11,19,11,19,15,13,47,25,15,23,41,43,17,23,21,21,21,13,37,13,13,7,35,35,19,14,25,11,19,9,21,13,11,17,43
7,95,65,199,13,70,50,9,28,7,19,19,9,11,213,95,13,14,17,11,13,21,19,21,43,27,45,5,19,13,27,15,5,21,48,41,17,15,11,7,7,15,11,13,13,15,17,17,18,10,23,13,9,27,31,5,7,11,17,23,27,20,23,5,19,9,17,13,66,29,37,9,13,22,25,29,25,21,23,11,17,17,9,7,7,31,25,9,17,13,45,23,5,13,29,33,15,21,17,19,15
8,87,191,145,131,37,29,99,24,16,13,15,9,9,15,15,40,23,9,7,13,11,37,76,13,19,33,15,27,43,9,15,15,11,13,19,11,39,17,15,7,5,7,7,5,9,13,11,19,7,9,5,5,9,5,11,7,11,7,13,11,9,7,7,9,9,9,7,19,9,5,5,9,13,9,9,7,5,19,13,7,7,5,9,5,5,13,7,9,7,7,7,11,7,19,7,5,5,7,5,5
9,137,74,50,24,71,82,13,13,27,17,65,15,5,7,5,43,5,29,23,9,7,134,7,7,5,11,30,7,7,11,5,103,70,79,5,9,11,20,63,65,130,7,58,7,9,23,39,7,7,9,27,13,15,5,9,11,5,17,5,48,7,55,5,9,5,5,7,9,15,5,13,7,9,13,9,19,47,17,7,7,7,49,13,9,5,7,7,29,7,19,13,9,11,13,17,29,15,13,21,11
