,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,240,66,321,139,70,9,38,59,9,49,58,9,40,15,25,10,23,37,19,38,62,7,13,13,9,11,40,25,29,7,15,29,25,9,9,21,13,17,14,11,15,9,9,13,31,5,11,25,35,15,7,13,13,9,9,19,15,9,9,19,15,7,42,15,13,29,11,32,17,7,11,23,55,15,7,17,7,9,61,21,42,21,38,7,17,11,21,17,15,13,11,18,11,5,34,21,7,19,15,15
1,150,48,37,102,116,69,13,7,35,37,27,13,17,8,11,9,5,5,9,29,16,27,5,7,5,5,11,5,5,7,9,9,54,5,5,5,9,5,7,7,9,21,5,7,7,11,7,29,5,9,5,70,11,27,15,9,5,5,5,9,7,5,7,9,7,11,5,5,5,9,11,15,5,9,18,5,9,11,5,19,7,15,7,5,7,7,28,11,7,7,15,5,13,15,17,5,7,7,5,9
2,57,218,208,189,28,107,17,9,13,34,29,11,7,21,11,5,31,5,14,37,9,7,9,9,11,15,11,67,13,9,15,19,35,15,9,7,11,11,7,13,7,9,11,5,7,21,9,21,7,13,13,9,9,15,5,9,22,7,9,27,11,11,11,17,13,9,11,7,7,9,24,19,7,9,13,11,9,13,9,7,11,19,11,11,11,11,9,7,9,7,9,11,9,9,19,11,9,17,11,11
3,133,66,25,44,159,63,41,44,21,15,77,9,51,11,13,31,29,17,11,19,23,37,29,29,21,31,51,9,9,21,19,15,21,11,5,29,19,15,7,5,39,7,13,9,7,15,15,51,15,19,19,11,9,13,11,77,11,17,9,15,7,31,19,5,25,55,15,11,9,7,5,13,13,7,5,19,31,5,7,9,11,11,35,9,5,11,5,11,13,9,5,9,11,7,7,9,5,9,15,20
4,188,406,37,64,17,121,74,19,11,7,13,71,23,9,11,7,9,22,11,13,11,9,15,7,19,17,15,9,25,19,20,13,21,15,27,7,11,7,13,11,21,13,9,12,13,7,11,25,15,23,7,25,7,15,19,9,11,13,9,19,15,27,7,61,7,9,9,21,9,7,15,15,11,19,15,21,7,11,9,7,11,7,23,13,11,21,11,17,13,21,17,23,17,17,15,9,17,19,11,11
5,36,404,152,47,44,90,57,31,89,56,32,29,9,11,23,17,21,9,17,33,29,11,23,19,15,23,11,13,9,11,11,31,13,13,7,19,19,17,19,15,13,15,9,11,19,25,19,11,9,15,9,9,25,11,15,15,11,9,13,9,21,11,7,15,9,17,7,13,15,13,13,19,9,9,7,17,17,13,13,19,9,13,17,11,17,29,9,15,15,9,9,17,11,13,25,11,15,11,13,13
6,47,54,62,136,123,43,15,42,70,35,11,21,23,35,84,15,32,32,9,37,23,11,11,11,31,9,45,15,25,19,15,15,23,15,19,9,26,11,9,9,7,9,13,11,11,13,15,9,13,9,9,11,7,9,9,13,5,7,5,15,13,5,9,17,7,13,5,13,11,11,7,11,19,11,13,5,15,9,19,11,15,11,19,27,11,15,13,7,9,9,11,9,13,16,13,15,11,17,9,7
7,71,115,60,81,21,19,84,9,7,26,54,65,17,11,113,27,33,17,28,22,5,15,7,15,11,5,5,13,5,7,9,7,53,35,9,17,15,7,5,25,13,7,5,7,40,7,7,13,11,11,5,7,15,9,7,9,11,11,7,7,5,5,13,7,17,15,15,5,11,7,11,23,5,5,5,7,13,22,7,7,5,5,5,15,7,19,13,5,11,13,9,11,7,13,17,9,9,11,5,7
8,250,373,107,64,77,58,9,38,9,35,17,132,11,9,51,51,15,41,7,23,37,9,7,9,9,11,15,7,13,11,7,7,19,36,7,11,17,9,9,11,7,9,31,11,19,11,9,33,9,7,13,33,27,41,7,7,11,11,11,53,11,23,13,13,13,11,17,15,7,9,7,11,11,9,19,35,7,7,11,47,11,7,7,7,31,11,7,23,25,9,13,31,7,13,43,11,7,7,27,9
9,63,497,17,186,90,21,187,43,62,84,73,35,34,17,31,57,15,21,9,79,11,72,93,40,7,23,37,13,7,9,7,11,57,21,9,7,9,12,7,7,7,7,7,13,5,7,13,15,17,19,7,5,5,7,5,9,7,7,7,19,9,7,11,7,17,5,11,9,9,9,11,7,7,7,9,15,7,9,15,17,26,5,7,19,7,9,5,5,17,9,38,11,9,9,7,9,9,11,15,5
